STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00190736,"BLUE HILL COOP, MA US",7/12/15,0,0,0,84,67,71
USC00190736,"BLUE HILL COOP, MA US",7/13/15,0,0,0,88,69,75
USC00190736,"BLUE HILL COOP, MA US",7/14/15,0,0,0,82,64,71
USC00190736,"BLUE HILL COOP, MA US",7/15/15,0.07,0,0,81,69,71
USC00190736,"BLUE HILL COOP, MA US",7/16/15,0.11,0,0,84,56,60
USC00190736,"BLUE HILL COOP, MA US",7/17/15,0,0,0,72,56,64
USC00190736,"BLUE HILL COOP, MA US",7/18/15,0.16,0,0,79,63,63
USC00190736,"BLUE HILL COOP, MA US",7/19/15,0,0,0,76,63,74
USC00190736,"BLUE HILL COOP, MA US",7/20/15,0.01,0,0,89,73,80
USC00190736,"BLUE HILL COOP, MA US",7/21/15,0,0,0,90,70,72
USC00190736,"BLUE HILL COOP, MA US",7/22/15,0,0,0,87,64,70
USC00190736,"BLUE HILL COOP, MA US",7/23/15,0,0,0,82,62,68
USC00190736,"BLUE HILL COOP, MA US",7/24/15,0,0,0,81,59,66
USC00190736,"BLUE HILL COOP, MA US",7/25/15,0,0,0,80,60,62
USC00190736,"BLUE HILL COOP, MA US",7/26/15,0,0,0,71,59,64
USC00190736,"BLUE HILL COOP, MA US",7/27/15,0,0,0,78,64,71
USC00190736,"BLUE HILL COOP, MA US",7/28/15,0,0,0,84,68,71
USC00190736,"BLUE HILL COOP, MA US",7/29/15,0,0,0,89,70,77
USC00190736,"BLUE HILL COOP, MA US",7/30/15,0,0,0,92,72,77
USC00190736,"BLUE HILL COOP, MA US",7/31/15,0.1,0,0,89,68,72
USC00190736,"BLUE HILL COOP, MA US",8/1/15,0,0,0,87,69,72
USC00190736,"BLUE HILL COOP, MA US",8/2/15,0.06,0,0,88,62,68
USC00190736,"BLUE HILL COOP, MA US",8/3/15,0,0,0,86,68,73
USC00190736,"BLUE HILL COOP, MA US",8/4/15,0.23,0,0,89,68,68
USC00190736,"BLUE HILL COOP, MA US",8/5/15,0.08,0,0,86,64,69
USC00190736,"BLUE HILL COOP, MA US",8/6/15,0,0,0,84,59,65
USC00190736,"BLUE HILL COOP, MA US",8/7/15,0,0,0,80,61,67
USC00190736,"BLUE HILL COOP, MA US",8/8/15,0,0,0,78,58,65
USC00190736,"BLUE HILL COOP, MA US",8/9/15,0,0,0,77,59,62
USC00190736,"BLUE HILL COOP, MA US",8/10/15,0,0,0,72,58,63
USC00190736,"BLUE HILL COOP, MA US",8/11/15,0,0,0,84,63,65
USC00190736,"BLUE HILL COOP, MA US",8/12/15,0.52,0,0,70,65,68
USC00190736,"BLUE HILL COOP, MA US",8/13/15,0,0,0,83,62,67
USC00190736,"BLUE HILL COOP, MA US",8/14/15,0,0,0,83,63,70
USC00190736,"BLUE HILL COOP, MA US",8/15/15,0,0,0,86,66,68
USC00190736,"BLUE HILL COOP, MA US",8/16/15,1.24,0,0,91,65,67
USC00190736,"BLUE HILL COOP, MA US",8/17/15,0,0,0,87,67,74
USC00190736,"BLUE HILL COOP, MA US",8/18/15,0,0,0,90,70,74
USC00190736,"BLUE HILL COOP, MA US",8/19/15,0.27,0,0,92,69,73
USC00190736,"BLUE HILL COOP, MA US",8/20/15,0,0,0,87,70,74
USC00190736,"BLUE HILL COOP, MA US",8/21/15,0.04,0,0,85,71,72
USC00190736,"BLUE HILL COOP, MA US",8/22/15,0.27,0,0,82,67,69
USC00190736,"BLUE HILL COOP, MA US",8/23/15,0.1,0,0,73,66,66
USC00190736,"BLUE HILL COOP, MA US",8/24/15,0.08,0,0,70,66,67
USC00190736,"BLUE HILL COOP, MA US",8/25/15,0.01,0,0,78,67,68
USC00190736,"BLUE HILL COOP, MA US",8/26/15,0,0,0,85,68,69
USC00190736,"BLUE HILL COOP, MA US",8/27/15,0,0,0,82,59,65
USC00190736,"BLUE HILL COOP, MA US",8/28/15,0,0,0,79,58,62
USC00190736,"BLUE HILL COOP, MA US",8/29/15,0,0,0,80,60,65
USC00190736,"BLUE HILL COOP, MA US",8/30/15,0,0,0,81,65,67
USC00190736,"BLUE HILL COOP, MA US",8/31/15,0,0,0,86,67,72
USC00190736,"BLUE HILL COOP, MA US",9/1/15,0,0,0,87,65,70
USC00190736,"BLUE HILL COOP, MA US",9/2/15,0,0,0,81,64,68
USC00190736,"BLUE HILL COOP, MA US",9/3/15,0,0,0,89,66,70
USC00190736,"BLUE HILL COOP, MA US",9/4/15,0,0,0,85,63,64
USC00190736,"BLUE HILL COOP, MA US",9/5/15,0,0,0,70,55,59
USC00190736,"BLUE HILL COOP, MA US",9/6/15,0,0,0,77,55,63
USC00190736,"BLUE HILL COOP, MA US",9/7/15,0,0,0,87,63,67
USC00190736,"BLUE HILL COOP, MA US",9/8/15,0,0,0,92,67,75
USC00190736,"BLUE HILL COOP, MA US",9/9/15,0,0,0,97,70,74
USC00190736,"BLUE HILL COOP, MA US",9/10/15,0,0,0,92,70,72
USC00190736,"BLUE HILL COOP, MA US",9/11/15,0.85,0,0,73,60,60
USC00190736,"BLUE HILL COOP, MA US",9/12/15,0.06,0,0,70,58,60
USC00190736,"BLUE HILL COOP, MA US",9/13/15,0.04,0,0,75,60,60
USC00190736,"BLUE HILL COOP, MA US",9/14/15,0.4,0,0,66,53,57
USC00190736,"BLUE HILL COOP, MA US",9/15/15,0,0,0,70,56,61
USC00190736,"BLUE HILL COOP, MA US",9/16/15,0,0,0,82,61,67
USC00190736,"BLUE HILL COOP, MA US",9/17/15,0,0,0,84,64,66
USC00190736,"BLUE HILL COOP, MA US",9/18/15,0,0,0,87,64,69
USC00190736,"BLUE HILL COOP, MA US",9/19/15,0,0,0,86,61,62
USC00190736,"BLUE HILL COOP, MA US",9/20/15,0,0,0,80,62,68
USC00190736,"BLUE HILL COOP, MA US",9/21/15,0,0,0,74,50,55
USC00190736,"BLUE HILL COOP, MA US",9/22/15,0,0,0,65,55,57
USC00190736,"BLUE HILL COOP, MA US",9/23/15,0,0,0,67,50,53
USC00190736,"BLUE HILL COOP, MA US",9/24/15,0,0,0,72,53,61
USC00190736,"BLUE HILL COOP, MA US",9/25/15,0,0,0,72,53,57
USC00190736,"BLUE HILL COOP, MA US",9/26/15,0,0,0,66,49,52
USC00190736,"BLUE HILL COOP, MA US",9/27/15,0,0,0,63,46,50
USC00190736,"BLUE HILL COOP, MA US",9/28/15,0,0,0,71,50,62
USC00190736,"BLUE HILL COOP, MA US",9/29/15,0,0,0,81,62,67
USC00190736,"BLUE HILL COOP, MA US",9/30/15,0.92,0,0,82,67,70
USC00190736,"BLUE HILL COOP, MA US",10/1/15,1.61,0,0,75,51,52
USC00190736,"BLUE HILL COOP, MA US",10/2/15,0.06,0,0,55,47,47
USC00190736,"BLUE HILL COOP, MA US",10/3/15,0.31,0,0,50,46,46
USC00190736,"BLUE HILL COOP, MA US",10/4/15,0.15,0,0,51,45,50
USC00190736,"BLUE HILL COOP, MA US",10/5/15,0,0,0,55,46,48
USC00190736,"BLUE HILL COOP, MA US",10/6/15,0,0,0,59,43,46
USC00190736,"BLUE HILL COOP, MA US",10/7/15,0,0,0,68,46,50
USC00190736,"BLUE HILL COOP, MA US",10/8/15,0,0,0,69,49,50
USC00190736,"BLUE HILL COOP, MA US",10/9/15,0,0,0,63,50,55
USC00190736,"BLUE HILL COOP, MA US",10/10/15,0.27,0,0,68,44,45
USC00190736,"BLUE HILL COOP, MA US",10/11/15,0,0,0,59,45,49
USC00190736,"BLUE HILL COOP, MA US",10/12/15,0,0,0,67,49,53
